Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
1 100.00 1650.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
2 100.00 1625.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
3 100.00 1600.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
4 100.00 1575.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
5 100.00 1550.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
6 100.00 1525.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
7 100.00 1500.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
8 100.00 1475.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
9 100.00 1450.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
10 100.00 1425.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
11 100.00 1400.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
12 100.00 1375.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
13 100.00 1350.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
14 100.00 1325.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
15 100.00 1300.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
16 100.00 1275.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
17 100.00 1250.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
