System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2-(QFM) fO2(absolute) rhol rhos viscosity aH2O chisqr
1 100.00 1650.00 100.050000 1.0000000000000000 1.000000 -1138200.054928 310.937514 38.719966 149.813425 -213.954671 2652.455285 0.227 -4.186 2.583938 0.000000 0.757 n/a n/a
2 100.00 1625.00 100.050000 1.0000000000000000 1.000000 -1141945.368720 308.977256 38.653655 149.811679 -214.289054 2652.455285 0.232 -4.349 2.588371 0.000000 0.822 n/a n/a
3 100.00 1600.00 100.050000 1.0000000000000000 1.000000 -1145690.638882 306.991031 38.587343 149.809934 -214.623436 2652.455285 0.236 -4.517 2.592819 0.000000 0.890 n/a n/a
4 100.00 1575.00 100.050000 1.0000000000000000 1.000000 -1149435.865427 304.978141 38.521032 149.808189 -214.957819 2652.455285 0.239 -4.690 2.597282 0.000000 0.959 n/a n/a
5 100.00 1550.00 100.050000 1.0000000000000000 1.000000 -1153181.048316 302.937861 38.454720 149.806441 -215.292201 2652.455285 0.240 -4.870 2.601761 0.000000 1.030 n/a n/a
6 100.00 1525.00 100.050000 1.0000000000000000 1.000000 -1156926.187460 300.869433 38.388409 149.804689 -215.626584 2652.455285 0.240 -5.056 2.606255 0.000000 1.103 n/a n/a
7 100.00 1500.00 100.050000 1.0000000000000000 1.000000 -1160671.282720 298.772070 38.322098 149.802930 -215.960966 2652.455285 0.239 -5.249 2.610765 0.000000 1.177 n/a n/a
8 100.00 1475.00 100.050000 1.0000000000000000 1.000000 -1164416.333911 296.644950 38.255786 149.801163 -216.295349 2652.455285 0.236 -5.449 2.615291 0.000000 1.255 n/a n/a
9 100.00 1450.00 100.050000 1.0000000000000000 1.000000 -1168161.340806 294.487216 38.189475 149.799386 -216.629731 2652.455285 0.231 -5.657 2.619832 0.000000 1.334 n/a n/a
10 100.00 1425.00 100.050000 1.0000000000000000 1.000000 -1171906.303135 292.297972 38.123164 149.797598 -216.964113 2652.455285 0.225 -5.872 2.624389 0.000000 1.416 n/a n/a
11 100.00 1400.00 100.050000 1.0000000000000000 1.000000 -1175651.220593 290.076286 38.056852 149.795797 -217.298496 2652.455285 0.217 -6.095 2.628962 0.000000 1.500 n/a n/a
12 100.00 1375.00 100.050000 1.0000000000000000 1.000000 -1179396.092844 287.821179 37.990541 149.793981 -217.632878 2652.455285 0.207 -6.327 2.633550 0.000000 1.586 n/a n/a
13 100.00 1350.00 100.050000 1.0000000000000000 1.000000 -1183140.919521 285.531631 37.924229 149.792150 -217.967261 2652.455285 0.194 -6.567 2.638155 0.000000 1.676 n/a n/a
14 100.00 1325.00 100.050000 1.0000000000000000 1.000000 -1186885.700233 283.206572 37.857918 149.790304 -218.301643 2652.455285 0.180 -6.817 2.642776 0.000000 1.768 n/a n/a
15 100.00 1300.00 100.050000 1.0000000000000000 1.000000 -1190630.434567 280.844883 37.791607 149.788440 -218.636026 2652.455285 0.163 -7.077 2.647413 0.000000 1.863 n/a n/a
16 100.00 1275.00 100.050000 1.0000000000000000 1.000000 -1194375.122095 278.445391 37.725295 149.786559 -218.970408 2652.455285 0.144 -7.346 2.652067 0.000000 1.961 n/a n/a
17 100.00 1250.00 100.050000 1.0000000000000000 1.000000 -1198119.762371 276.006865 37.658984 149.784660 -219.304791 2652.455285 0.123 -7.627 2.656737 0.000000 2.062 n/a n/a
18 100.00 1225.00 100.050000 1.0000000000000000 1.000000 -1201864.354939 273.528013 37.592673 149.782742 -219.639173 2652.455285 0.098 -7.919 2.661423 0.000000 2.167 n/a n/a
19 100.00 1200.00 100.050000 0.9958990495148470 0.996665 -1205762.347628 270.903466 37.517558 146.033293 -219.716744 2643.933079 0.082 -8.212 2.664701 3.279647 2.290 n/a n/a
